municipios,vacinados_parcial_F_17,vacinados_parcial_M_17,vacinados_completo_F_17,vacinados_completo_M_17,vacinados_parcial_F_35,vacinados_parcial_M_35,vacinados_completo_F_35,vacinados_completo_M_35,vacinados_parcial_F_59,vacinados_parcial_M_59,vacinados_completo_F_59,vacinados_completo_M_59,vacinados_parcial_F_200,vacinados_parcial_M_200,vacinados_completo_F_200,vacinados_completo_M_200,date
TOBIAS BARRETO,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,27.0,0.0,0.0,2021-02-01
LARANJEIRAS,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-01
CAPELA,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,2.0,0.0,0.0,2021-02-01
ESTANCIA,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,42.0,0.0,0.0,2.0,17.0,2.0,0.0,2021-02-01
MOITA BONITA,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,2021-02-01
TOMAR DO GERU,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-01
ITABAIANINHA,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,4.0,0.0,0.0,2021-02-01
ITABAIANA,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,115.0,0.0,0.0,2.0,55.0,2.0,0.0,2021-02-01
NOSSA SENHORA DA GLORIA,0.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,14.0,0.0,0.0,2021-02-01
FREI PAULO,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-01
SAO MIGUEL DO ALEIXO,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-01
BOQUIM,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,8.0,0.0,0.0,2021-02-01
JAPOATA,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,2021-02-01
SIMAO DIAS,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,6.0,0.0,0.0,2021-02-01
POCO REDONDO,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,9.0,0.0,0.0,2021-02-01
SANTA LUZIA DO ITANHY,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,2021-02-01
PINHAO,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-01
AREIA BRANCA,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,2.0,0.0,0.0,2021-02-01
MONTE ALEGRE DE SERGIPE,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,2021-02-01
RIACHAO DO DANTAS,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-01
ITAPORANGA D'AJUDA,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,2.0,0.0,0.0,2021-02-01
NEOPOLIS,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,4.0,0.0,0.0,2021-02-01
CEDRO DE SAO JOAO,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-01
PORTO DA FOLHA,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,65.0,0.0,1.0,0.0,18.0,0.0,0.0,2021-02-01
GARARU,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-01
NOSSA SENHORA DAS DORES,0.0,0.0,0.0,0.0,2.0,14.0,2.0,0.0,1.0,65.0,1.0,0.0,0.0,7.0,0.0,0.0,2021-02-01
PIRAMBU,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-01
INDIAROBA,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,4.0,0.0,0.0,2021-02-01
AQUIDABA,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,8.0,0.0,0.0,2021-02-01
ILHA DAS FLORES,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-01
SAO CRISTOVAO,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,1.0,0.0,0.0,2021-02-01
MACAMBIRA,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2021-02-01
ARAUA,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,1.0,0.0,2021-02-01
JAPARATUBA,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,32.0,0.0,1.0,0.0,1.0,0.0,0.0,2021-02-01
MALHADOR,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2021-02-01
NOSSA SENHORA APARECIDA,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,1.0,0.0,0.0,2021-02-01
PROPRIA,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,1.0,50.0,1.0,0.0,0.0,14.0,0.0,2.0,2021-02-01
POCO VERDE,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,2021-02-01
CARIRA,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-01
BREJO GRANDE,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-01
PEDRA MOLE,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-01
BARRA DOS COQUEIROS,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,2021-02-01
DIVINA PASTORA,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-01
SANTA ROSA DE LIMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,2021-02-01
SANTANA DO SAO FRANCISCO,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0,2021-02-01
PACATUBA,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-02-01
SALGADO,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,18.0,1.0,0.0,0.0,2.0,0.0,0.0,2021-02-01
RIBEIROPOLIS,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,27.0,0.0,0.0,2021-02-01
PEDRINHAS,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,2021-02-01
